Product ID|Vendor|Collection IDs|Variant IDs|Variant SKUs|Cursor
gid://shopify/Product/9272288543062|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215831802198|S0671265431|eyJsYXN0X2lkIjo5MjcyMjg4NTQzMDYyLCJsYXN0X3ZhbHVlIjoiOTI3MjI4ODU0MzA2MiJ9
gid://shopify/Product/9272288706902|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215832097110|S0671265440|eyJsYXN0X2lkIjo5MjcyMjg4NzA2OTAyLCJsYXN0X3ZhbHVlIjoiOTI3MjI4ODcwNjkwMiJ9
gid://shopify/Product/9272288870742|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215832424790|S0671265446|eyJsYXN0X2lkIjo5MjcyMjg4ODcwNzQyLCJsYXN0X3ZhbHVlIjoiOTI3MjI4ODg3MDc0MiJ9
gid://shopify/Product/9272289034582|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215832785238|S0671265449|eyJsYXN0X2lkIjo5MjcyMjg5MDM0NTgyLCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTAzNDU4MiJ9
gid://shopify/Product/9272289263958|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215833145686|S0671265450|eyJsYXN0X2lkIjo5MjcyMjg5MjYzOTU4LCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTI2Mzk1OCJ9
gid://shopify/Product/9272289460566|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215833538902|S0671265461|eyJsYXN0X2lkIjo5MjcyMjg5NDYwNTY2LCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTQ2MDU2NiJ9
gid://shopify/Product/9272289657174|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215833899350|S0671265478|eyJsYXN0X2lkIjo5MjcyMjg5NjU3MTc0LCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTY1NzE3NCJ9
gid://shopify/Product/9272289788246|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215834161494|S0671265481|eyJsYXN0X2lkIjo5MjcyMjg5Nzg4MjQ2LCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTc4ODI0NiJ9
gid://shopify/Product/9272289886550|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215834456406|S0671265492|eyJsYXN0X2lkIjo5MjcyMjg5ODg2NTUwLCJsYXN0X3ZhbHVlIjoiOTI3MjI4OTg4NjU1MCJ9
gid://shopify/Product/9272290115926|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215834882390|S0671265517|eyJsYXN0X2lkIjo5MjcyMjkwMTE1OTI2LCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDExNTkyNiJ9
gid://shopify/Product/9272290279766|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215835210070|S0671265533|eyJsYXN0X2lkIjo5MjcyMjkwMjc5NzY2LCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDI3OTc2NiJ9
gid://shopify/Product/9272290378070|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215835439446|S0671265537|eyJsYXN0X2lkIjo5MjcyMjkwMzc4MDcwLCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDM3ODA3MCJ9
gid://shopify/Product/9272290509142|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215835767126|S0671265541|eyJsYXN0X2lkIjo5MjcyMjkwNTA5MTQyLCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDUwOTE0MiJ9
gid://shopify/Product/9272290672982|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215836258646|S0671265548|eyJsYXN0X2lkIjo5MjcyMjkwNjcyOTgyLCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDY3Mjk4MiJ9
gid://shopify/Product/9272290836822|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215836848470|S0671265550|eyJsYXN0X2lkIjo5MjcyMjkwODM2ODIyLCJsYXN0X3ZhbHVlIjoiOTI3MjI5MDgzNjgyMiJ9
gid://shopify/Product/9272291197270|Awasm|gid://shopify/Collection/631221125462|gid://shopify/ProductVariant/49215837864278|S0671265552|eyJsYXN0X2lkIjo5MjcyMjkxMTk3MjcwLCJsYXN0X3ZhbHVlIjoiOTI3MjI5MTE5NzI3MCJ9
